Scenario - Experiment_3_pilot.sce
Logfile written - 12/07/2018 13:13:06

Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

1	Response	1	138140	137974	2
2	Response	1	155340	17052	1
3	Picture	10	155449	0	1	3332	2	0	next	other	0
4	Picture	10	158781	0	1	3333	2	0	next	other	0
5	Picture	10	162114	0	1	3332	2	0	next	other	0
6	Picture	10	165446	0	1	3332	2	0	next	other	0
7	Picture	10	168778	0	1	3332	2	0	next	other	0
8	Picture	10	172110	0	1	3333	2	0	next	other	0
9	Picture	10	175443	0	1	3332	2	0	next	other	0
10	Picture	10	178775	0	1	3332	2	0	next	other	0
11	Picture	10	182107	0	1	3332	2	0	next	other	0
12	Picture	10	185439	0	1	3333	2	0	next	other	0
13	Picture	10	188772	0	1	3332	2	0	next	other	0
14	Picture	10	192104	0	1	3332	2	0	next	other	0
15	Picture	10	195436	0	1	3332	2	0	next	other	0
16	Picture	10	198768	0	1	3333	2	0	next	other	0
17	Picture	10	202101	0	1	3332	2	0	next	other	0
18	Picture	10	205433	0	1	3332	2	0	next	other	0
19	Picture	10	208765	0	1	3332	2	0	next	other	0
20	Picture	10	212097	0	1	3333	2	0	next	other	0
21	Picture	10	215430	0	1	3332	2	0	next	other	0
22	Picture	10	218762	0	1	3332	2	0	next	other	0
23	Picture	10	222094	0	1	3332	2	0	next	other	0
24	Picture	10	225426	0	1	3333	2	0	next	other	0
25	Picture	10	228759	0	1	3332	2	0	next	other	0
26	Picture	10	232091	0	1	3332	2	0	next	other	0
27	Picture	10	235423	0	1	3332	2	0	next	other	0
28	Picture	10	238755	0	1	3333	2	0	next	other	0
29	Picture	10	242088	0	1	3332	2	0	next	other	0
30	Picture	10	245420	0	1	3332	2	0	next	other	0
31	Picture	10	248752	0	1	3332	2	0	next	other	0
32	Picture	10	252084	0	1	3333	2	0	next	other	0
33	Picture	10	255417	0	1	3332	2	0	next	other	0
34	Picture	10	258749	0	1	3332	2	0	next	other	0
35	Picture	10	262081	0	1	3332	2	0	next	other	0
36	Picture	10	265413	0	1	3333	2	0	next	other	0
37	Picture	10	268746	0	1	3332	2	0	next	other	0
38	Picture	10	272078	0	1	3332	2	0	next	other	0
39	Picture	10	275410	0	1	3332	3	0	next	other	0
40	Picture	10	278742	0	2	3333	3	0	next	other	0
41	Picture	10	282075	0	1	3332	2	0	next	other	0
42	Picture	10	285407	0	1	3332	2	0	next	other	0
43	Picture	10	288739	0	1	3332	3	0	next	other	0
44	Picture	10	292071	0	2	3333	3	0	next	other	0
45	Picture	10	295404	0	1	3332	2	0	next	other	0
46	Picture	10	298736	0	1	3332	2	0	next	other	0
47	Picture	10	302068	0	1	3332	3	0	next	other	0
48	Picture	10	305400	0	2	3333	3	0	next	other	0
49	Picture	10	308733	0	1	3332	2	0	next	other	0
50	Picture	10	312065	0	1	3332	2	0	next	other	0
